Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
United Asian Bond Fund SGD,SGD,4,Y,N,N,Y,1.10%,1.33%,SGD 105.83,1000,100,4.07%,Reinvest,M,0
LionGlobal Singapore/Malaysia SGD,SGD,9,Y,N,N,Y,1.15%,1.54%,SGD 21.20,1000,100,,,,0
LionGlobal China Growth SGD,SGD,8,Y,N,N,Y,1.25%,1.51%,SGD 36.80,1000,100,,,,0
United Singapore Growth Fund SGD,SGD,8,Y,N,N,Y,1.00%,1.41%,SGD 45.40,500,100,2.48%,Reinvest,H,0
United Global Technology Fund SGD,SGD,10,Y,N,N,Y,1.75%,2.91%,SGD 14.11,1000,500,,,,0
Nikko AM Horizon Singapore Fixed Income Enhanced SGD,SGD,1,Y,N,N,Y,1.00%,1.25%,SGD 26.06,1000,100,,,,0
Stewart Investors Worldwide Leaders Sustainability A Acc SGD,SGD,7,Y,N,N,Y,1.20%,1.94%,SGD 25.60,1000,100,,,,0
Eastspring Investments Unit Trusts - Singapore Select Bond A SGD,SGD,1,Y,Y,Y,Y,0.50%,0.62%,SGD 1390.50,1000,100,,,,0
FSSA Asia Opportunities A Acc SGD,SGD,10,Y,N,N,Y,1.75%,2.21%,SGD 23.30,1000,100,,,,0
Legg Mason Martin Currie - Southeast Asia Trust A Acc SGD,SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 68.23,1000,100,,,,0
Eastspring Investments Unit Trusts - Pan European SGD,SGD,8,Y,Y,N,Y,0.75%,1.73%,SGD 64.10,1000,100,,,,0
LionGlobal Singapore Trust SGD,SGD,8,Y,N,N,Y,1.15%,1.52%,SGD 64.40,1000,100,,,,0
Fidelity American Growth A-USD,USD,8,Y,N,N,N,1.50%,1.90%,USD 872.00,1000,100,,Reinvest,Y,0
Fidelity Asian Special Situations A-USD,USD,8,Y,N,N,Y,1.50%,1.92%,USD 4050.00,1000,100,0.21%,Reinvest,Y,0
Fidelity Global Consumer Industries A-EUR,EUR,10,Y,N,N,N,1.50%,1.90%,EUR 1339.00,1000,100,,Reinvest,Y,0
Legg Mason Western Asset - Asian Opportunities A Mdis SGD-H Plus,SGD,4,Y,N,N,N,1.10%,1.35%,USD 631.00,1000,100,4.23%,Reinvest,M,0
Growthpath Portfolios - Growthpath 2040 SGD,SGD,6,Y,N,N,Y,0.95%,2.05%,SGD 20.48,1000,100,,,,0
Eastspring Investments Unit Trusts - Global Technology SGD,SGD,10,Y,N,N,Y,0.75%,1.66%,SGD 377.70,1000,100,,,,0
Legg Mason Western Asset - Emerging Markets Total Return Bond A Mdis SGD-H Plus,SGD,5,Y,N,N,N,1.50%,1.78%,USD 23.75,1000,100,,Reinvest,M,0
